"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",37,34,33,48,35,48,52,44,36,45,38,27,52,37,48,51
"2",47,47,41,38,62,37,31,55,35,43,45,64,42,66,67,43
"3",35,64,48,56,30,55,37,39,43,29,27,34,66,70,41,58
"4",64,31,31,52,46,66,40,38,42,38,29,34,47,63,56,28
"5",49,44,47,65,66,45,33,54,50,49,59,21,59,45,51,59
"6",35,47,45,53,38,49,34,44,31,50,34,42,50,60,30,39
"7",51,53,46,30,39,29,54,43,59,31,61,41,60,44,45,33
"8",54,42,58,42,37,54,44,32,45,41,52,37,48,58,58,46
"9",52,69,30,68,42,46,47,9,42,25,44,44,41,40,43,57
"10",41,43,60,66,47,32,48,38,41,42,33,50,58,58,32,52
"11",63,50,36,52,60,66,49,36,60,58,35,36,32,40,55,67
"12",50,57,31,45,35,31,52,49,39,54,41,29,51,49,41,46
"13",38,40,36,50,32,53,52,50,46,42,27,36,29,53,47,36
"14",18,33,48,44,43,41,49,29,42,57,42,45,23,41,30,65
"15",58,66,47,45,32,38,68,46,67,54,31,43,40,51,63,54
"16",44,17,41,47,43,46,51,35,35,46,45,37,43,56,45,25
"17",45,56,34,59,38,65,34,63,44,34,42,59,62,67,45,52
"18",56,45,37,44,19,32,41,42,14,43,56,49,46,64,45,51
"19",55,57,60,44,48,42,45,64,56,56,38,51,44,47,31,38
"20",52,50,47,42,42,53,57,42,37,51,37,41,53,58,39,59
"21",56,70,38,63,56,51,55,60,66,38,37,48,48,30,61,25
"22",54,31,34,47,56,28,53,45,47,19,45,69,67,43,62,41
"23",46,64,43,61,63,69,61,40,42,37,40,57,49,47,40,43
"24",21,68,25,60,53,31,28,45,56,20,49,41,32,42,40,63
"25",52,45,39,52,55,47,60,66,37,30,46,33,52,54,57,35
"26",44,16,36,42,41,31,47,32,40,41,45,42,47,36,50,63
"27",43,51,59,60,62,45,54,32,48,37,43,43,27,62,54,58
"28",27,38,57,56,63,27,52,68,37,35,36,47,21,55,37,57
"29",39,55,44,34,37,62,33,52,50,44,42,47,32,40,49,55
"30",50,48,31,60,35,38,42,21,49,42,33,49,36,28,56,48
"31",61,54,56,47,49,37,35,63,34,23,32,53,45,28,39,37
"32",44,49,55,58,58,51,54,57,41,44,34,70,55,41,45,47
"33",50,58,54,36,56,31,46,26,58,57,53,39,40,48,62,44
"34",44,42,54,27,60,32,44,36,47,47,26,32,39,54,54,34
"35",28,36,41,55,63,59,40,60,45,28,35,41,42,50,57,33
"36",40,38,53,40,56,43,38,50,33,28,51,39,38,41,51,48
