"","STATE","COUNTY","GROCPC","SNAPStoresPERTHO","SNAPRedemp","AMB_PAR06","PCT_FREE_LUNCH","PCT_REDUCED_LUNCH","PC_FRUVEG","PC_SNACKS","PC_SODA","PC_MEAT","PC_FATS","PC_PREPFOO","MILK_PRICE","SODA_PRICE","PCT_DIABET","PCT_OBESE_ADULTS","PCT_Child_OBESITY","PctNHWhite","PctNHBlack","PctHisp08","PctNHAsian","PctNHNA08","Median_Inc","Percent_Poverty","metro"
"1","Alabama","Autauga",0.08,0.735,148576,88,28.6,8.5,172,112,74,74,18,292,0.94,0.99,11.4,30,12.4,78,18,1.9,0.6,0.4,51622,10.7,1
"2","Alabama","Baldwin",0.134,0.533,125586,103,27.2,9.2,149,103,71,69,16,281,1.06,1.01,9.4,24.5,10.8,85.1,9.9,2.9,0.5,0.5,51957,9.9,0
"3","Alabama","Barbour",0.204,0.921,213128,82,65.4,7.1,160,117,89,69,18,297,1.08,1,13,36.4,20.8,48,46.4,4,0.3,0.4,30896,24.5,0
"4","Alabama","Bibb",0.326,0.462,273233,84,45.6,15.4,172,112,74,74,18,292,0.94,0.99,11.6,31.7,15.4,75.7,22,1.4,0.1,0.3,41076,18.5,1
"5","Alabama","Blount",0.106,0.4,174259,80,30.4,10.2,172,112,74,74,18,292,0.94,0.99,10.5,31.5,19.9,89.4,2.1,7.2,0.2,0.4,46086,13.1,1
"6","Alabama","Bullock",0.183,1.019,172658,78,82.3,7.3,172,112,74,74,18,292,0.94,0.99,14.5,37.3,15.6,22.5,68.4,7.8,0.2,0.4,26980,33.6,0
"7","Alabama","Butler",0.149,1.344,197389,82,61.1,12.4,172,112,74,74,18,292,0.94,0.99,14.2,35.5,7.7,56.3,41.6,1,0.4,0.2,31449,22.3,0
"8","Alabama","Calhoun",0.275,1.014,188506,84,42.2,10,172,112,74,74,18,292,0.94,0.99,13.5,33.2,15.1,75.7,19.7,2.3,0.7,0.4,39997,17.6,1
"9","Alabama","Chambers",0.202,0.784,246683,80,58.4,10.2,216,110,57,113,16,294,1.11,1.06,15.1,35.7,7,60,37.7,1.2,0.2,0.2,35614,18.7,0
"10","Alabama","Cherokee",0.163,1.019,143954,80,40.8,10.1,216,110,57,113,16,294,1.11,1.06,13.3,30.7,14.3,91.9,5.4,1.3,0.2,0.3,38028,17.7,0
"11","Alabama","Chilton",0.166,0.636,227636,80,39.1,10.6,172,112,74,74,18,292,0.94,0.99,9.8,33.9,14.2,83.4,10.8,4.6,0.2,0.3,40292,17.1,1
"12","Alabama","Choctaw",0.212,1.423,104775,91,68.2,8.9,160,117,89,69,18,297,1.08,1,13.1,36.1,5.6,55.1,43.2,0.9,0.1,0.2,30728,22.9,0
"13","Alabama","Clarke",0.302,1.521,238741,106,53.2,10.1,160,117,89,69,18,297,1.08,1,12.6,35.1,18.3,54.6,43.5,0.9,0.2,0.3,34101,20.6,0
"14","Alabama","Clay",0.217,0.797,75962,66,42.9,14.4,172,112,74,74,18,292,0.94,0.99,12.4,31.6,14.1,80.7,15.4,2.5,0.1,0.3,33032,16.9,0
"15","Alabama","Cleburne",0.272,0.878,82293,78,42.5,12.2,216,110,57,113,16,294,1.11,1.06,10.1,29.3,10.2,92.3,4.2,2.2,0.1,0.3,37742,14.8,0
