Sale 1 Price;Sale 2 Price;Date Sale 1;Date Sale 2;City;Time Interval;Atlanta;Chicago;Dallas;Oakland
68200;59700;31;32;1;1;1;0;0;0
66300;72500;33;35;1;2;1;0;0;0
48000;113000;18;62;1;44;1;0;0;0
48000;60000;22;30;1;8;1;0;0;0
60000;69500;27;36;1;9;1;0;0;0
85000;132000;30;53;1;23;1;0;0;0
34500;65000;6;30;1;24;1;0;0;0
61000;69500;33;47;1;14;1;0;0;0
49900;61000;45;52;1;7;1;0;0;0
44500;79000;23;54;1;31;1;0;0;0
24500;47000;24;54;1;30;1;0;0;0
41500;67500;28;48;1;20;1;0;0;0
50000;55000;33;46;1;13;1;0;0;0
28000;38000;12;21;1;9;1;0;0;0
59300;92900;26;39;1;13;1;0;0;0
98900;123000;28;45;1;17;1;0;0;0
20000;32000;30;53;1;23;1;0;0;0
57000;76000;29;35;1;6;1;0;0;0
18000;33400;20;56;1;36;1;0;0;0
62500;92500;26;34;1;8;1;0;0;0
36500;58500;12;30;1;18;1;0;0;0
26900;67500;7;54;1;47;1;0;0;0
28000;38000;33;40;1;7;1;0;0;0
59700;57000;16;17;1;1;1;0;0;0
20500;31500;16;31;1;15;1;0;0;0
69600;63500;22;23;1;1;1;0;0;0
35000;38500;6;7;1;1;1;0;0;0
88300;116500;23;30;1;7;1;0;0;0
36700;56000;21;37;1;16;1;0;0;0
106500;127800;31;34;1;3;1;0;0;0
23000;29000;39;40;1;1;1;0;0;0
43000;59400;25;55;1;30;1;0;0;0
59000;59000;33;34;1;1;1;0;0;0
44000;41000;15;28;1;13;1;0;0;0
43000;63500;9;22;1;13;1;0;0;0
33700;31200;27;29;1;2;1;0;0;0
39200;44000;34;38;1;4;1;0;0;0
32000;46500;25;37;1;12;1;0;0;0
17500;32500;7;38;1;31;1;0;0;0
30000;38500;28;36;1;8;1;0;0;0
59500;82000;60;65;1;5;1;0;0;0
42400;114900;12;64;1;52;1;0;0;0
44600;61500;13;26;1;13;1;0;0;0
33000;59500;5;33;1;28;1;0;0;0
50000;51500;34;48;1;14;1;0;0;0
23500;45500;6;10;1;4;1;0;0;0
38500;60000;23;42;1;19;1;0;0;0
35500;66900;17;37;1;20;1;0;0;0
55000;55000;57;61;1;4;1;0;0;0
50000;70500;26;38;1;12;1;0;0;0
42500;96400;14;63;1;49;1;0;0;0
42200;43000;27;30;1;3;1;0;0;0
23000;33000;1;19;1;18;1;0;0;0
