"","Sale 1 Price","Sale 2 Price","Date Sale 1","Date Sale 2","City","Time Interval","Atlanta","Chicago","Dallas","Oakland"
"1",68200,59700,31,32,1,1,1,0,0,0
"2",66300,72500,33,35,1,2,1,0,0,0
"3",48000,113000,18,62,1,44,1,0,0,0
"4",48000,60000,22,30,1,8,1,0,0,0
"5",60000,69500,27,36,1,9,1,0,0,0
"6",85000,132000,30,53,1,23,1,0,0,0
"7",34500,65000,6,30,1,24,1,0,0,0
"8",61000,69500,33,47,1,14,1,0,0,0
"9",49900,61000,45,52,1,7,1,0,0,0
"10",44500,79000,23,54,1,31,1,0,0,0
"11",24500,47000,24,54,1,30,1,0,0,0
"12",41500,67500,28,48,1,20,1,0,0,0
"13",50000,55000,33,46,1,13,1,0,0,0
"14",28000,38000,12,21,1,9,1,0,0,0
"15",59300,92900,26,39,1,13,1,0,0,0
"16",98900,123000,28,45,1,17,1,0,0,0
"17",20000,32000,30,53,1,23,1,0,0,0
"18",57000,76000,29,35,1,6,1,0,0,0
"19",18000,33400,20,56,1,36,1,0,0,0
"20",62500,92500,26,34,1,8,1,0,0,0
"21",36500,58500,12,30,1,18,1,0,0,0
"22",26900,67500,7,54,1,47,1,0,0,0
"23",28000,38000,33,40,1,7,1,0,0,0
"24",59700,57000,16,17,1,1,1,0,0,0
"25",20500,31500,16,31,1,15,1,0,0,0
"26",69600,63500,22,23,1,1,1,0,0,0
"27",35000,38500,6,7,1,1,1,0,0,0
"28",88300,116500,23,30,1,7,1,0,0,0
"29",36700,56000,21,37,1,16,1,0,0,0
"30",106500,127800,31,34,1,3,1,0,0,0
"31",23000,29000,39,40,1,1,1,0,0,0
"32",43000,59400,25,55,1,30,1,0,0,0
"33",59000,59000,33,34,1,1,1,0,0,0
"34",44000,41000,15,28,1,13,1,0,0,0
"35",43000,63500,9,22,1,13,1,0,0,0
"36",33700,31200,27,29,1,2,1,0,0,0
"37",39200,44000,34,38,1,4,1,0,0,0
"38",32000,46500,25,37,1,12,1,0,0,0
"39",17500,32500,7,38,1,31,1,0,0,0
"40",30000,38500,28,36,1,8,1,0,0,0
"41",59500,82000,60,65,1,5,1,0,0,0
"42",42400,114900,12,64,1,52,1,0,0,0
"43",44600,61500,13,26,1,13,1,0,0,0
"44",33000,59500,5,33,1,28,1,0,0,0
"45",50000,51500,34,48,1,14,1,0,0,0
"46",23500,45500,6,10,1,4,1,0,0,0
"47",38500,60000,23,42,1,19,1,0,0,0
"48",35500,66900,17,37,1,20,1,0,0,0
"49",55000,55000,57,61,1,4,1,0,0,0
"50",50000,70500,26,38,1,12,1,0,0,0
"51",42500,96400,14,63,1,49,1,0,0,0
"52",42200,43000,27,30,1,3,1,0,0,0
"53",23000,33000,1,19,1,18,1,0,0,0
"54",60000,116500,22,54,1,32,1,0,0,0
"55",38000,60000,9,25,1,16,1,0,0,0
"56",23400,47900,14,34,1,20,1,0,0,0
"57",32500,73000,6,37,1,31,1,0,0,0
"58",44700,135000,8,62,1,54,1,0,0,0
"59",64000,67900,21,23,1,2,1,0,0,0
"60",40900,47900,22,29,1,7,1,0,0,0
"61",40400,49000,34,43,1,9,1,0,0,0
"62",105000,140000,29,46,1,17,1,0,0,0
"63",44500,59000,14,24,1,10,1,0,0,0
"64",24000,61000,11,37,1,26,1,0,0,0
"65",63000,53200,60,62,1,2,1,0,0,0
"66",35000,60000,4,28,1,24,1,0,0,0
"67",34500,65000,9,36,1,27,1,0,0,0
"68",45000,45200,57,58,1,1,1,0,0,0
"69",90500,93100,61,63,1,2,1,0,0,0
"70",23000,44900,22,35,1,13,1,0,0,0
"71",22400,41000,3,43,1,40,1,0,0,0
"72",62000,57500,63,64,1,1,1,0,0,0
"73",20000,24000,3,17,1,14,1,0,0,0
"74",29700,29500,9,14,1,5,1,0,0,0
"75",46000,55000,30,32,1,2,1,0,0,0
"76",30000,41500,5,28,1,23,1,0,0,0
"77",35000,86500,11,42,1,31,1,0,0,0
"78",19000,34500,23,46,1,23,1,0,0,0
"79",64900,90300,61,65,1,4,1,0,0,0
"80",60500,90500,29,63,1,34,1,0,0,0
"81",15500,43500,2,62,1,60,1,0,0,0
"82",59500,59500,25,26,1,1,1,0,0,0
"83",42900,61000,26,53,1,27,1,0,0,0
"84",36500,49000,10,19,1,9,1,0,0,0
"85",56400,64900,35,57,1,22,1,0,0,0
"86",41500,42500,34,37,1,3,1,0,0,0
"87",38000,53500,18,30,1,12,1,0,0,0
"88",55000,57000,43,46,1,3,1,0,0,0
"89",34000,52000,9,29,1,20,1,0,0,0
"90",51500,56900,30,52,1,22,1,0,0,0
"91",48000,61000,20,27,1,7,1,0,0,0
"92",18000,33500,19,62,1,43,1,0,0,0
"93",38500,57500,18,32,1,14,1,0,0,0
"94",49900,62900,28,34,1,6,1,0,0,0
"95",54000,82000,26,45,1,19,1,0,0,0
"96",18800,47300,9,43,1,34,1,0,0,0
"97",101000,101700,35,38,1,3,1,0,0,0
"98",50000,1e+05,9,59,1,50,1,0,0,0
"99",89000,110000,32,51,1,19,1,0,0,0
"100",50000,55000,2,7,1,5,1,0,0,0
"101",32000,63500,19,64,1,45,1,0,0,0
"102",48000,65000,15,29,1,14,1,0,0,0
"103",38000,36500,2,6,1,4,1,0,0,0
"104",29500,59900,3,54,1,51,1,0,0,0
"105",35500,68000,13,50,1,37,1,0,0,0
"106",57900,66000,20,26,1,6,1,0,0,0
"107",27500,28900,12,17,1,5,1,0,0,0
"108",63900,98500,18,51,1,33,1,0,0,0
"109",53500,78500,24,31,1,7,1,0,0,0
"110",24500,69000,14,46,1,32,1,0,0,0
"111",41300,91000,6,38,1,32,1,0,0,0
"112",34000,80500,10,55,1,45,1,0,0,0
"113",56500,63500,37,50,1,13,1,0,0,0
"114",29900,39000,27,35,1,8,1,0,0,0
"115",39800,52900,21,33,1,12,1,0,0,0
"116",39700,54000,36,43,1,7,1,0,0,0
"117",60600,94000,15,33,1,18,1,0,0,0
"118",37500,75000,3,32,1,29,1,0,0,0
"119",43000,43000,22,23,1,1,1,0,0,0
"120",23500,27000,25,28,1,3,1,0,0,0
"121",29800,54000,7,31,1,24,1,0,0,0
"122",39000,46500,34,54,1,20,1,0,0,0
"123",31000,85000,30,40,1,10,1,0,0,0
"124",22800,32900,1,29,1,28,1,0,0,0
"125",28000,41000,28,33,1,5,1,0,0,0
"126",52500,65500,27,47,1,20,1,0,0,0
"127",37500,62900,30,43,1,13,1,0,0,0
"128",39000,42900,36,38,1,2,1,0,0,0
"129",27000,40000,29,59,1,30,1,0,0,0
"130",30500,39900,8,27,1,19,1,0,0,0
"131",47000,60000,31,50,1,19,1,0,0,0
"132",39000,39000,56,60,1,4,1,0,0,0
"133",85700,76500,35,44,1,9,1,0,0,0
"134",48000,69000,27,61,1,34,1,0,0,0
"135",110000,113000,39,55,1,16,1,0,0,0
"136",62000,76000,30,45,1,15,1,0,0,0
"137",27000,55200,4,32,1,28,1,0,0,0
"138",45000,142000,20,62,1,42,1,0,0,0
"139",39200,54000,6,19,1,13,1,0,0,0
"140",30500,44000,12,22,1,10,1,0,0,0
"141",31900,54000,29,38,1,9,1,0,0,0
"142",35900,73000,20,49,1,29,1,0,0,0
"143",25900,29000,16,23,1,7,1,0,0,0
"144",45900,72000,18,45,1,27,1,0,0,0
"145",80500,84000,34,43,1,9,1,0,0,0
"146",89000,175000,31,63,1,32,1,0,0,0
"147",49500,49700,30,32,1,2,1,0,0,0
"148",85500,109500,35,63,1,28,1,0,0,0
"149",81300,78600,44,45,1,1,1,0,0,0
"150",85000,82500,44,51,1,7,1,0,0,0
"151",27200,49500,6,30,1,24,1,0,0,0
"152",45000,115000,2,39,1,37,1,0,0,0
"153",38500,50900,28,33,1,5,1,0,0,0
"154",27000,39000,15,35,1,20,1,0,0,0
"155",44300,81500,7,27,1,20,1,0,0,0
"156",63000,67000,39,53,1,14,1,0,0,0
"157",33000,47000,25,34,1,9,1,0,0,0
"158",71000,74000,46,56,1,10,1,0,0,0
"159",36000,43000,27,33,1,6,1,0,0,0
"160",67500,65000,39,49,1,10,1,0,0,0
"161",28700,30000,11,13,1,2,1,0,0,0
"162",49900,56000,45,46,1,1,1,0,0,0
"163",68000,93000,25,32,1,7,1,0,0,0
"164",98800,98800,63,65,1,2,1,0,0,0
"165",36000,36000,21,25,1,4,1,0,0,0
"166",58000,57000,54,56,1,2,1,0,0,0
"167",53500,67700,38,45,1,7,1,0,0,0
"168",94200,147000,21,31,1,10,1,0,0,0
"169",48000,62000,23,32,1,9,1,0,0,0
"170",53300,71900,29,54,1,25,1,0,0,0
"171",41900,48000,36,43,1,7,1,0,0,0
"172",19000,29000,19,38,1,19,1,0,0,0
"173",48000,41000,26,30,1,4,1,0,0,0
"174",39000,46200,6,14,1,8,1,0,0,0
"175",75500,76900,56,58,1,2,1,0,0,0
"176",25300,61900,6,54,1,48,1,0,0,0
"177",24500,28300,8,11,1,3,1,0,0,0
"178",56900,57000,28,29,1,1,1,0,0,0
"179",32500,62000,7,37,1,30,1,0,0,0
"180",32500,50100,28,44,1,16,1,0,0,0
"181",122500,139500,39,54,1,15,1,0,0,0
"182",30500,31500,7,9,1,2,1,0,0,0
"183",34400,56500,34,55,1,21,1,0,0,0
"184",25000,30500,21,33,1,12,1,0,0,0
"185",57000,79000,32,47,1,15,1,0,0,0
"186",118000,144500,32,46,1,14,1,0,0,0
"187",47400,68000,29,47,1,18,1,0,0,0
"188",33400,50000,9,57,1,48,1,0,0,0
"189",65000,52200,25,28,1,3,1,0,0,0
"190",69800,70500,32,44,1,12,1,0,0,0
"191",30000,31000,12,15,1,3,1,0,0,0
"192",72000,72000,58,59,1,1,1,0,0,0
"193",58900,81900,29,56,1,27,1,0,0,0
"194",34000,70000,26,38,1,12,1,0,0,0
"195",34000,62000,5,30,1,25,1,0,0,0
"196",25000,33500,7,29,1,22,1,0,0,0
"197",69500,91900,27,51,1,24,1,0,0,0
"198",28500,28500,8,9,1,1,1,0,0,0
"199",60000,103000,24,39,1,15,1,0,0,0
"200",90000,90000,58,62,1,4,1,0,0,0
"201",56900,62000,35,51,1,16,1,0,0,0
"202",65900,70900,53,64,1,11,1,0,0,0
"203",49000,52000,36,59,1,23,1,0,0,0
"204",56000,65000,26,30,1,4,1,0,0,0
"205",83000,104500,36,62,1,26,1,0,0,0
"206",108500,94500,63,64,1,1,1,0,0,0
"207",37600,50000,6,22,1,16,1,0,0,0
"208",25000,56000,6,38,1,32,1,0,0,0
